search_category,name,lat,lng,types,user_ratings_total,rating,place_id,vicinity,business_status,icon,opening_hours_open_now,price_level,plus_code_compound,plus_code_global,first_photo_reference,reference,scope,description
Restaurant,Pizza Pazza,40.3750556,-3.7747428,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",978.0,4.6,ChIJhfY8HFKIQQ0R3CB1z0LbVFY,"Avenida de la Aviación, 73, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,True,1.0,"96GG+24 Madrid, Spain",8CGR96GG+24,AVzFdblYVrEakKD6pJHI_L-oGuPJi0HxtM7KmNxXZ-RP4msAUYy8BJIHOKrwspujiMBzGa48wdG0jMCPRS_lUbYsdUAgEFFEHvn1R-cUy62PbC35z46Zr-0qlNRYjSWqcpOZRONZM7TRRVtIfXzamcuN32UhBBqwMvcTVtE121WD7RX3dusDxQUvJqX5,ChIJhfY8HFKIQQ0R3CB1z0LbVFY,GOOGLE,
Restaurant,Don Antonio,40.3704292,-3.7532615,"restaurant, food, point_of_interest, establishment",1998.0,4.2,ChIJvZtYrNKJQQ0RpJCQVSG-Kw4,"Avenida de Carabanchel Alto, 58, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,True,2.0,"96CW+5M Madrid, Spain",8CGR96CW+5M,AVzFdbnkTjl10y237--y8NZqRbWyPCuFYNpHszbc703X5vTWfGoRH-p3xAXijqAgD-RayOge-rzO-5OlEIZC1r8O2WrrLiaTPaAWYQnz6Vh4At_N9A0vqx52euXXckb74h91DS8ovIhX8t_Y_9RVgxmsYmBoNN_SK0luOwXMc1BAKmfcX-cBE8c8XMnW,ChIJvZtYrNKJQQ0RpJCQVSG-Kw4,GOOGLE,
Restaurant,El Rincón del Greco,40.38000050000001,-3.7490893,"bar, restaurant, food, point_of_interest, establishment",1001.0,4.5,ChIJdd2wTi-IQQ0R32yOhGKM3pk,"Avenida de Nuestra Señora de Fátima, 98, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,False,1.0,"97J2+29 Madrid, Spain",8CGR97J2+29,AVzFdbk3Q7n8bh6jCMACpzojs52fejEr_IqhbEK7eTaCDbZ6r2iu0VQEwJIrFNLwkKNRLJoo-aGrS6slB1LHuoh8ibxLcoKCPC-6ZavpLKG0TjFeCLyqECWcQCYc-N917G4UKnJNz89TPYdTm-9O3Fp5zL4N04OvXoIDHBTzOX8PaqTFdolF26h_DyQl,ChIJdd2wTi-IQQ0R32yOhGKM3pk,GOOGLE,
Restaurant,Restaurante Villanueva,40.3686958,-3.758856899999999,"restaurant, bar, food, point_of_interest, establishment",183.0,4.5,ChIJP5z9YsuJQQ0RNYdmG6dHIIE,"Calle Marianistas, 9, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,True,1.0,"969R+FF Madrid, Spain",8CGR969R+FF,AVzFdbmr7lDp4o2Fut7BIS1yTpynArGlGFsMWukcnOnziMWs8hBPDGo8j1MYPDDYHPf8TTObPH385SXEXEd5odCXrGDzgvL5N-GM11RM6uciajeR4mjEM4Yjl1aKZ8FOsv4R9DyQ-TGzOPzuP0VMCmmfJX78w30I7NmGoGuZrlJCFc94PJYxGn9FgWOI,ChIJP5z9YsuJQQ0RNYdmG6dHIIE,GOOGLE,
Restaurant,Bar Julio,40.3755515,-3.7647103,"bar, cafe, store, restaurant, food, point_of_interest, establishment",2250.0,4.4,ChIJzS3680mIQQ0Rrn47CUFK_so,"Plaza Rabasa, 5, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,True,1.0,"96GP+64 Madrid, Spain",8CGR96GP+64,AVzFdbntrzCOt_F4NxGPhcmpGLBp5cLmqcQvS_kHjtWCM-IBGgkITL_aJbSGsT_U6YGYhZTKd1JrzR9t7Lp_UdLBM9WxQc4XeIgXyzwHyoj-IQN7RQsN72xFj7VVkQWnLLMLtjKXmbyLdXs9CICvhbPoceeplubUymmgVnqLLMsokXb-gu5EvGgKI0Le,ChIJzS3680mIQQ0Rrn47CUFK_so,GOOGLE,
Restaurant,Pizzeria Carabancheli,40.3665057,-3.7636902,"restaurant, food, point_of_interest, establishment",313.0,4.4,ChIJLRYndcqJQQ0RhO2NqUzO32k,"VALLE DE BOI, Avenida de la Peseta, 8, LOCAL ESQ, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,,1.0,"968P+JG Madrid, Spain",8CGR968P+JG,AVzFdblww71PXSE1RRDtka8BRtCyDyiX6flURzODlo4B8xVJWfGeMTVJwKueoANQmRJeDqSG5K2uTwdsJo-BSmJ96iDOUlABLysXYI2fbGzNxkDZ3NNlSLOCoY3GLRIl8l0DYiA6LEHpHC5Ncr6_16jxSfUSKZapLouwv7iocTJhLCZuwn-rDn2Zj6tg,ChIJLRYndcqJQQ0RhO2NqUzO32k,GOOGLE,
Restaurant,Ali Kebab Carabanchel Alto,40.3676854,-3.755618,"restaurant, food, point_of_interest, establishment",172.0,3.9,ChIJQSLsqM2JQQ0R0k0RsdWK5M8,"Calle Alfonso Fernández, 15, bajo, local, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,True,1.0,"969V+3Q Madrid, Spain",8CGR969V+3Q,AVzFdbkNyDzGL2tn2ZDE2J5BTGRNSF_JBUnurkDhZNqEXTXzJhQAwJVTlo4V5ZdsIyqrRi6CxvGFDCZtgVwPecAdOlskF6UhUx2uttZOpU2UXcyxUqdG75jD31Q3lX_4PlIPGXA4dmtC-r4MBe-CRPydIgOojzvriwR0l2j8SnbEJyVuH8skpjmZJgS6,ChIJQSLsqM2JQQ0R0k0RsdWK5M8,GOOGLE,
Restaurant,Hermanos Moreno Churreria,40.3776886,-3.7684785,"restaurant, food, point_of_interest, establishment",1862.0,4.1,ChIJK9A71kiIQQ0RiM3zbDiGp-I,"Calle de Blas Cabrera, 125, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,True,1.0,"96HJ+3J Madrid, Spain",8CGR96HJ+3J,AVzFdbkBaGjtb1DMsIjZN21lyu70QhYgQB6xFvtxMH7vp8S1gLefD6m444CAzkHDrQY4DznmOHB0whDMscxGJj_FSz6LwjtjXmWfogMBTLGiym208dUhDVxlDCYKY6mmmoF1nk2wNKulU6DYORHRFtwEl0aPpuWR-6nlbsMjuQZwhqkHFxsx3LXHEAdL,ChIJK9A71kiIQQ0RiM3zbDiGp-I,GOOGLE,
Restaurant,Restaurante Guang Zhou— Zhou Hong,40.3784309,-3.769226200000001,"meal_delivery, restaurant, food, point_of_interest, establishment",445.0,3.8,ChIJ-eApMk-IQQ0RkgWCVhX4tdc,"Calle de José de Cadalso, 72, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,True,1.0,"96HJ+98 Madrid, Spain",8CGR96HJ+98,AVzFdblylkVCeUiiCDyfmMD78YaXiG3twIea2Kav0biNGo76_nqtqG5RVbzBbAQh1tAgbEmCqGDMX8BJquC7zhtuFplO_BP2BWJBN-sTXxODLB2HDVTmQLrxfSIXvzpgGw98oNgzAnB46GxcuMLN1E52spkkCSg7Hn5RpsiXimOkpd-FZd7H0si_vtk6,ChIJ-eApMk-IQQ0RkgWCVhX4tdc,GOOGLE,
Restaurant,100 Montaditos,40.3623397,-3.7605548,"bar, restaurant, food, point_of_interest, establishment",1341.0,3.9,ChIJ58Ru-8iJQQ0R_W75SKBn50E,"Avenida de la Peseta, 38, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,True,1.0,"966Q+WQ Madrid, Spain",8CGR966Q+WQ,AVzFdbkfpI0jxWRymgtdpHgHKjf6tf-yhGYNJpKkg3GqAN5BBd6EeZCFnfN635mHxQBWAGxDeTZHLMYGLmI7BHkI9IARL3GsvsA7B5yQfZTiOYkydytwxOnxAzMfevn4gII38Pu470b-9yMhsJQpBG4ZPdbE6mvkg8-uiLVzSRAXaJtH4nv2tD9ER4nV,ChIJ58Ru-8iJQQ0R_W75SKBn50E,GOOGLE,
